11.3636	-8.8182	-116.5306
11.3636	-9.1818	-116.7347
11.1818	-9.6364	-117.1429
11.4545	-10.0909	-117.1429
11.6364	-10.2727	-117.3469
12.6364	-12.0000	-118.3674
13.3636	-13.0909	-118.8776
15.0000	-16.0000	-119.1837
16.2727	-17.8182	-119.2857
16.0909	-17.1818	-119.2857
12.8182	-17.4545	-120.2041
12.5455	-18.4545	-120.2041
10.5455	-19.0000	-120.2041
5.5455	-19.0000	-119.2857
5.2727	-18.1818	-119.5918
4.7273	-16.1818	-119.3878
4.9091	-15.9091	-119.6939
5.6364	-15.4545	-119.4898
1.9091	-11.3636	-118.1633
1.6364	-10.9091	-117.4490
3.6364	-11.4545	-118.8776
5.2727	-11.9091	-119.1837
6.4545	-11.8182	-119.3878
5.9091	-11.4545	-118.5714
5.0000	-9.1818	-117.3469
7.3636	-10.0000	-117.9592
9.1818	-10.0909	-118.0612
9.3636	-10.1818	-118.3674
8.5455	-10.0909	-118.2653
8.6364	-9.0909	-117.7551
9.1818	-8.7273	-116.8367
9.2727	-8.9091	-117.2449
9.1818	-8.7273	-116.9388
9.8182	-8.5455	-116.6327
10.7273	-9.5455	-116.9388
12.6364	-10.8182	-117.5510
13.0000	-11.5455	-117.8572
12.6364	-11.0000	-117.5510
13.1818	-11.0000	-117.6531
19.2727	-13.4545	-115.7143
26.0000	-16.1818	-109.7959
27.7273	-16.5455	-106.8367
30.6364	-17.9091	-101.2245
31.8182	-18.2727	-98.4694
33.0909	-18.0000	-94.2857
31.6364	-14.2727	-91.5306
28.5455	-10.0909	-90.0000
17.4545	0.1818	-89.0816
11.5455	2.9091	-88.6735
-0.8182	6.1818	-87.3469
-7.7273	5.7273	-85.5102
-18.7273	1.0909	-80.4082
-22.1818	-11.0000	-79.5918
-20.4545	-17.8182	-77.6531
-13.5455	-27.4545	-80.3061
-11.1818	-29.1818	-82.6531
-3.0909	-35.4545	-82.8572
8.4545	-41.0000	-79.5918
14.0909	-42.1818	-78.6735
24.2727	-41.9091	-79.3878
27.9091	-40.1818	-81.5306
34.0000	-35.5455	-81.1224
36.7273	-30.0909	-80.5102
37.0909	-27.4545	-82.4490
34.6364	-22.2727	-91.4286
34.8182	-20.8182	-91.4286
33.9091	-19.6364	-92.9592
33.1818	-17.8182	-94.2857
33.0909	-16.9091	-93.0612
28.9091	-11.9091	-96.9388
26.6364	-9.5455	-98.9796
23.4545	-9.1818	-104.0816
20.9091	-9.7273	-110.1020
20.7273	-10.2727	-110.6123
18.5455	-10.3636	-113.2653
18.9091	-10.2727	-113.1633
18.3636	-7.9091	-109.5918
16.6364	-6.8182	-110.3061
15.0909	-5.5455	-109.5918
